isic_id,target
ISIC_7931446,0
ISIC_1968391,0
ISIC_0251481,0
ISIC_9678329,0
ISIC_5942580,0
ISIC_8433395,0
ISIC_9916056,0
ISIC_2519935,0
ISIC_3855070,0
ISIC_2647943,0
ISIC_1459917,0
ISIC_8673228,0
ISIC_7124263,0
ISIC_5265764,0
ISIC_3847130,0
ISIC_8857872,0
ISIC_4432359,0
ISIC_9557525,0
ISIC_0946199,0
ISIC_0987114,0
ISIC_3597371,0
ISIC_6829700,0
ISIC_2382197,0
ISIC_0146086,0
ISIC_1303174,0
ISIC_1515404,0
ISIC_7348413,0
ISIC_1310577,0
ISIC_6356542,0
ISIC_2977907,0
ISIC_8188794,0
ISIC_0889605,0
ISIC_9862297,0
ISIC_4369209,0
ISIC_2595290,0
ISIC_6108896,0
ISIC_0203220,0
ISIC_0886200,0
ISIC_8348173,0
ISIC_6253837,0
ISIC_1438800,0
ISIC_2393013,0
ISIC_4236586,0
ISIC_0961501,0
ISIC_8301539,0
ISIC_6934518,0
ISIC_1134934,0
ISIC_0216626,0
ISIC_1240239,0
ISIC_5805303,0
ISIC_8653932,0
ISIC_6905632,0
ISIC_7089337,0
ISIC_0856161,0
ISIC_8373349,0
ISIC_0930651,0
ISIC_3227865,0
ISIC_8942889,0
ISIC_7325526,0
ISIC_8212745,0
ISIC_8183272,0
ISIC_8929293,0
ISIC_6654061,0
ISIC_5581579,0
ISIC_5404099,0
ISIC_4117268,0
ISIC_7676963,0
ISIC_1761456,0
ISIC_7467220,0
ISIC_5234087,0
ISIC_9677817,0
ISIC_9688776,0
ISIC_1129352,0
ISIC_8960804,0
ISIC_4594741,0
ISIC_8823617,0
ISIC_8077167,0
ISIC_5447607,0
ISIC_0459466,0
ISIC_7308133,0
ISIC_5080969,0
ISIC_5061863,0
ISIC_5920062,0
ISIC_9165046,0
ISIC_9956985,0
ISIC_6989844,0
ISIC_6129629,0
ISIC_8503861,0
ISIC_6874174,0
ISIC_7506342,0
ISIC_8470269,0
ISIC_4768898,0
ISIC_5877699,0
ISIC_3826806,0
ISIC_4585091,0
ISIC_3969852,0
ISIC_6461235,0
ISIC_0644896,0
ISIC_8142546,0
ISIC_8203797,0
ISIC_6030343,0
ISIC_8094104,0
ISIC_6114864,0
ISIC_2759777,0
ISIC_8452283,0
ISIC_1493851,0
ISIC_8627285,0
ISIC_5591526,0
ISIC_4483739,0
ISIC_6688700,0
ISIC_1987769,0
ISIC_7391808,0
ISIC_2585102,0
ISIC_9879073,0
ISIC_4144173,0
ISIC_0768232,0
ISIC_1969203,0
ISIC_9278141,0
ISIC_8356084,0
ISIC_8620412,0
ISIC_4977909,0
ISIC_9318084,0
ISIC_7555111,0
ISIC_9263658,0
ISIC_4428615,0
ISIC_5323847,0
ISIC_1704080,0
ISIC_8077148,0
ISIC_7451715,0
ISIC_6784717,0
ISIC_9881848,0
ISIC_6586438,0
ISIC_6064845,0
ISIC_2544296,0
ISIC_7522519,0
ISIC_8110050,0
ISIC_9539787,0
ISIC_7438481,0
ISIC_1291676,0
ISIC_3202145,0
ISIC_1242058,0
ISIC_8527618,0
ISIC_4899379,0
ISIC_2507963,0
ISIC_6273137,0
ISIC_5218226,0
ISIC_3601439,0
ISIC_3754916,0
ISIC_2690774,0
ISIC_9671127,0
ISIC_0510000,0
ISIC_6265707,0
ISIC_3034345,0
ISIC_5347933,0
ISIC_6584144,0
ISIC_0974239,0
ISIC_1731202,0
ISIC_5968522,0
ISIC_8590659,0
ISIC_0616124,0
ISIC_1289241,0
ISIC_1357563,0
ISIC_3250556,0
ISIC_5002259,0
ISIC_8515942,0
ISIC_8134710,0
ISIC_1394836,0
ISIC_5642332,0
ISIC_8836001,0
ISIC_9893092,0
ISIC_3771626,0
ISIC_8447873,0
ISIC_7020772,0
ISIC_2834047,0
ISIC_8354543,0
ISIC_2954561,0
ISIC_7392454,0
ISIC_0340598,0
ISIC_4328163,0
ISIC_9596455,0
ISIC_8293807,0
ISIC_9272771,0
ISIC_6354239,0
ISIC_3995204,0
ISIC_5288186,0
ISIC_0979811,0
ISIC_8430350,0
ISIC_0101118,0
ISIC_7463008,0
ISIC_6575546,0
ISIC_9179595,0
ISIC_2270874,0
ISIC_6141249,0
ISIC_4190201,0
ISIC_4156848,0
ISIC_8582117,0
ISIC_0798354,0
ISIC_7997863,0
ISIC_7907282,0
ISIC_8293332,0
ISIC_1045877,0
ISIC_0763873,0
ISIC_0748727,0
ISIC_0596758,0
ISIC_4465986,0
ISIC_2359582,0
ISIC_3226952,0
ISIC_3526648,0
ISIC_4248563,0
ISIC_5766186,0
ISIC_8259086,0
ISIC_7046944,0
ISIC_2924942,0
ISIC_1085248,0
ISIC_6905828,0
ISIC_0979894,0
ISIC_9046309,0
ISIC_2656671,0
ISIC_1919636,0
ISIC_6102817,0
ISIC_9033224,0
ISIC_2880759,0
ISIC_7909735,0
ISIC_7610925,0
ISIC_6842609,0
ISIC_2969427,0
ISIC_6960032,0
ISIC_7527298,0
ISIC_0816045,0
ISIC_9457271,0
ISIC_8923764,0
ISIC_8958730,0
ISIC_9627249,0
ISIC_1918451,0
ISIC_4324536,0
ISIC_0272517,0
ISIC_4984055,0
ISIC_4212426,0
ISIC_6074556,0
ISIC_5031251,0
ISIC_9441183,0
ISIC_2425892,0
ISIC_5967665,0
ISIC_0476086,0
ISIC_4711143,0
ISIC_3164894,0
ISIC_1666496,0
ISIC_8026404,0
ISIC_9244750,0
ISIC_2689858,0
ISIC_0635797,0
ISIC_2838610,0
ISIC_0175337,0
ISIC_3228497,0
ISIC_0100401,0
ISIC_6503119,0
ISIC_7978162,0
ISIC_9895523,0
ISIC_8283340,0
ISIC_3590322,0
ISIC_6932934,0
ISIC_0637027,0
ISIC_4806702,0
ISIC_3643056,0
ISIC_6637144,0
ISIC_6411632,0
ISIC_3642006,0
ISIC_6224872,0
ISIC_1747684,0
ISIC_8784723,0
ISIC_4289086,0
ISIC_1330637,0
ISIC_2387082,0
ISIC_9620719,0
ISIC_1301479,0
ISIC_0920050,0
ISIC_9442527,0
ISIC_1754269,0
ISIC_1051779,0
ISIC_8636867,0
ISIC_8593250,0
ISIC_2605971,0
ISIC_2013273,0
ISIC_1986841,0
ISIC_9150547,0
ISIC_9816751,0
ISIC_9643567,0
ISIC_9196842,0
ISIC_9792342,0
ISIC_2430687,0
ISIC_3469151,0
ISIC_4960263,0
ISIC_5766485,0
ISIC_7831040,0
ISIC_4328007,0
ISIC_7729780,0
ISIC_4011656,0
ISIC_5476391,0
ISIC_2696019,0
ISIC_5086311,0
ISIC_1295932,0
ISIC_6928416,0
ISIC_0359283,0
ISIC_3212894,0
ISIC_8856416,0
ISIC_6635472,0
ISIC_8861561,0
ISIC_4293462,0
ISIC_8646491,0
ISIC_7398824,0
ISIC_2896687,0
ISIC_5230865,0
ISIC_0473883,0
ISIC_3704732,0
ISIC_8502321,0
ISIC_8028897,0
